year,metric,value_krw,original_value,original_unit,basis,audit_note,table_header,evidence_context,company,sector,source_url,report_id,collected_at,section
2025,매출액,39653512000,"39,653,512",천원,별도,,"과   목 제7기 (2025.12.31) 제6기 (2024.12.31) 제5기 (2023.12.31) 회계처리 기준 K-IFRS K-IFRS K-IFRS 감사인(감사의견) 삼일회계법인(적정) 삼일회계법인(적정) 삼일회계법인(적정) Ⅰ. 유동자산 38,722,528 39,784,701 50,854,949","
 1. 요약재무정보 
 
 가. 요약연결재무정보 ※ 당사는 사업보고서 제출일 현재 해당사항 없음. 
 
 나. 요약개별재무정보 
 
 
 
 
 
 
 (단위: 천원) 
 
 
 
",넥스트칩,반도체,https://kind.krx.co.kr/external/2026/03/17/000791/20260317003083/11011.htm,20260317003083,2026-09-13T06:25:31.513660+00:00,III. 재무에 관한 사항 / 요약재무정보
2024,매출액,32252135000,"32,252,135",천원,별도,,"과   목 제7기 (2025.12.31) 제6기 (2024.12.31) 제5기 (2023.12.31) 회계처리 기준 K-IFRS K-IFRS K-IFRS 감사인(감사의견) 삼일회계법인(적정) 삼일회계법인(적정) 삼일회계법인(적정) Ⅰ. 유동자산 38,722,528 39,784,701 50,854,949","
 1. 요약재무정보 
 
 가. 요약연결재무정보 ※ 당사는 사업보고서 제출일 현재 해당사항 없음. 
 
 나. 요약개별재무정보 
 
 
 
 
 
 
 (단위: 천원) 
 
 
 
",넥스트칩,반도체,https://kind.krx.co.kr/external/2026/03/17/000791/20260317003083/11011.htm,20260317003083,2026-09-13T06:25:31.513660+00:00,III. 재무에 관한 사항 / 요약재무정보
2023,매출액,16154133000,"16,154,133",천원,별도,,"과   목 제7기 (2025.12.31) 제6기 (2024.12.31) 제5기 (2023.12.31) 회계처리 기준 K-IFRS K-IFRS K-IFRS 감사인(감사의견) 삼일회계법인(적정) 삼일회계법인(적정) 삼일회계법인(적정) Ⅰ. 유동자산 38,722,528 39,784,701 50,854,949","
 1. 요약재무정보 
 
 가. 요약연결재무정보 ※ 당사는 사업보고서 제출일 현재 해당사항 없음. 
 
 나. 요약개별재무정보 
 
 
 
 
 
 
 (단위: 천원) 
 
 
 
",넥스트칩,반도체,https://kind.krx.co.kr/external/2026/03/17/000791/20260317003083/11011.htm,20260317003083,2026-09-13T06:25:31.513660+00:00,III. 재무에 관한 사항 / 요약재무정보
2025,영업이익,-12936402000,"(12,936,402)",천원,별도,,"과   목 제7기 (2025.12.31) 제6기 (2024.12.31) 제5기 (2023.12.31) 회계처리 기준 K-IFRS K-IFRS K-IFRS 감사인(감사의견) 삼일회계법인(적정) 삼일회계법인(적정) 삼일회계법인(적정) Ⅰ. 유동자산 38,722,528 39,784,701 50,854,949","
 1. 요약재무정보 
 
 가. 요약연결재무정보 ※ 당사는 사업보고서 제출일 현재 해당사항 없음. 
 
 나. 요약개별재무정보 
 
 
 
 
 
 
 (단위: 천원) 
 
 
 
",넥스트칩,반도체,https://kind.krx.co.kr/external/2026/03/17/000791/20260317003083/11011.htm,20260317003083,2026-09-13T06:25:31.513660+00:00,III. 재무에 관한 사항 / 요약재무정보
2024,영업이익,-18439060000,"(18,439,060)",천원,별도,,"과   목 제7기 (2025.12.31) 제6기 (2024.12.31) 제5기 (2023.12.31) 회계처리 기준 K-IFRS K-IFRS K-IFRS 감사인(감사의견) 삼일회계법인(적정) 삼일회계법인(적정) 삼일회계법인(적정) Ⅰ. 유동자산 38,722,528 39,784,701 50,854,949","
 1. 요약재무정보 
 
 가. 요약연결재무정보 ※ 당사는 사업보고서 제출일 현재 해당사항 없음. 
 
 나. 요약개별재무정보 
 
 
 
 
 
 
 (단위: 천원) 
 
 
 
",넥스트칩,반도체,https://kind.krx.co.kr/external/2026/03/17/000791/20260317003083/11011.htm,20260317003083,2026-09-13T06:25:31.513660+00:00,III. 재무에 관한 사항 / 요약재무정보
2023,영업이익,-22516720000,"(22,516,720)",천원,별도,,"과   목 제7기 (2025.12.31) 제6기 (2024.12.31) 제5기 (2023.12.31) 회계처리 기준 K-IFRS K-IFRS K-IFRS 감사인(감사의견) 삼일회계법인(적정) 삼일회계법인(적정) 삼일회계법인(적정) Ⅰ. 유동자산 38,722,528 39,784,701 50,854,949","
 1. 요약재무정보 
 
 가. 요약연결재무정보 ※ 당사는 사업보고서 제출일 현재 해당사항 없음. 
 
 나. 요약개별재무정보 
 
 
 
 
 
 
 (단위: 천원) 
 
 
 
",넥스트칩,반도체,https://kind.krx.co.kr/external/2026/03/17/000791/20260317003083/11011.htm,20260317003083,2026-09-13T06:25:31.513660+00:00,III. 재무에 관한 사항 / 요약재무정보
2025,매출액,68510000000,"68,510",백만원,연결,,"사업연도 제 14기 (2025년) 제 13기 (2024년 12월말) 제 12기 (2023년 12월말) 회계처리 기준 (K-IFRS) (K-IFRS) (K-IFRS) [유동자산] 111,616 74,720 64,354 현금및현금성자산 52,726 18,716 6,998","
 1. 요약재무정보 
 
 가. 요약연결재무정보 
 
 
 
 
 
 
 
 
 (단위 : 백만원) 
 
 
 
",가온칩스,반도체,https://kind.krx.co.kr/external/2026/03/19/001715/20260319006993/11011.htm,20260319006993,2026-09-13T06:26:26.698287+00:00,III. 재무에 관한 사항 / 요약재무정보
2024,매출액,96492000000,"96,492",백만원,연결,,"사업연도 제 14기 (2025년) 제 13기 (2024년 12월말) 제 12기 (2023년 12월말) 회계처리 기준 (K-IFRS) (K-IFRS) (K-IFRS) [유동자산] 111,616 74,720 64,354 현금및현금성자산 52,726 18,716 6,998","
 1. 요약재무정보 
 
 가. 요약연결재무정보 
 
 
 
 
 
 
 
 
 (단위 : 백만원) 
 
 
 
",가온칩스,반도체,https://kind.krx.co.kr/external/2026/03/19/001715/20260319006993/11011.htm,20260319006993,2026-09-13T06:26:26.698287+00:00,III. 재무에 관한 사항 / 요약재무정보
2023,매출액,63597000000,"63,597",백만원,연결,,"사업연도 제 14기 (2025년) 제 13기 (2024년 12월말) 제 12기 (2023년 12월말) 회계처리 기준 (K-IFRS) (K-IFRS) (K-IFRS) [유동자산] 111,616 74,720 64,354 현금및현금성자산 52,726 18,716 6,998","
 1. 요약재무정보 
 
 가. 요약연결재무정보 
 
 
 
 
 
 
 
 
 (단위 : 백만원) 
 
 
 
",가온칩스,반도체,https://kind.krx.co.kr/external/2026/03/19/001715/20260319006993/11011.htm,20260319006993,2026-09-13T06:26:26.698287+00:00,III. 재무에 관한 사항 / 요약재무정보
2025,영업이익,-16721000000,"(16,721)",백만원,연결,,"사업연도 제 14기 (2025년) 제 13기 (2024년 12월말) 제 12기 (2023년 12월말) 회계처리 기준 (K-IFRS) (K-IFRS) (K-IFRS) [유동자산] 111,616 74,720 64,354 현금및현금성자산 52,726 18,716 6,998","
 1. 요약재무정보 
 
 가. 요약연결재무정보 
 
 
 
 
 
 
 
 
 (단위 : 백만원) 
 
 
 
",가온칩스,반도체,https://kind.krx.co.kr/external/2026/03/19/001715/20260319006993/11011.htm,20260319006993,2026-09-13T06:26:26.698287+00:00,III. 재무에 관한 사항 / 요약재무정보
